id;project_id;name;description;status;start_date;total_cost
1;85529;Polarised;Books Gorgeous Fresh Chicken;IN_PROGRESS;2024-10-08;54798
2;57511;Health;Producer;IN_PROGRESS;2024-10-09;4530
3;97263;Regional;system e-services Soft;PLANNED;2024-10-09;23989
4;62514;Guadeloupe invoice;optical;IN_PROGRESS;2024-10-09;7336
5;30857;Licensed Supervisor Buckinghamshire;Enhanced turquoise;IN_PROGRESS;2024-10-09;90157
6;47224;payment;Azerbaijanian Manat Cambridgeshire Soft;COMPLETED;2024-10-08;58188
7;83567;Direct Multi-lateral;Specialist magenta Optional;CANCELLED;2024-10-08;57280
8;80004;Interactions;back-end;COMPLETED;2024-10-09;78012
9;14251;product;microchip input mindshare;PLANNED;2024-10-08;66397
10;90230;digital Bacon;experiences Berkshire Ethiopian Birr;PLANNED;2024-10-09;62161
