id;resource_id;name;role;hourly_cost
1;71802;payment hacking driver;program Intelligent Fresh Fish;27514
2;1902;payment Licensed Concrete Bike system engine;rich calculate;72481
3;22899;calculating digital Home;solution Saint Barthelemy vortals;22958
4;57505;generate;world-class Rapid Ways;22061
5;1785;Fresh Refined Frozen Car;overriding Practical Fresh Sausages;743
6;9525;Investment Account Division;Berkshire bypass;46374
7;50940;approach Berkshire;Granite;27646
8;41253;Plastic;array Paradigm invoice;48664
9;60970;Music Unbranded Bedfordshire;optical;43913
10;62138;models back-end;Customer;96011
