id;stakeholder_id;name;role
1;24018;synthesizing Awesome Fresh;reboot
2;49054;Unbranded models teal;revolutionary
3;95840;AI TCP;lime Baby Sleek Frozen Gloves
4;13636;white;Automotive
5;44529;Agent solution;Clothing application
6;87217;Swiss Franc copying Gorgeous Concrete Keyboard;connect holistic
7;45707;architect Buckinghamshire;Quality alliance generating
8;87692;Home Loan Account Falkland Islands (Malvinas) Principal;Cotton Delaware
9;17317;Brooks Function-based;reciprocal green
10;3697;Agent;networks Legacy unleash
