id;task_id;name;description;start_date;end_date;estimated_cost;status
1;77763;open-source Avon;rich;2024-10-09;2024-10-08;64737;COMPLETED
2;60032;Grocery;Baby Baby morph;2024-10-09;2024-10-09;80834;BLOCKED
3;46795;Stream circuit PNG;Usability Wisconsin Pakistan Rupee;2024-10-09;2024-10-09;77240;BLOCKED
4;76559;Pa'anga;web-enabled back-end optical;2024-10-09;2024-10-09;67423;NOT_STARTED
5;72915;Orchestrator Fantastic;Re-contextualized;2024-10-09;2024-10-09;84490;NOT_STARTED
6;28011;Engineer input;Applications Dynamic;2024-10-09;2024-10-08;67640;BLOCKED
7;44274;withdrawal Rustic Expanded;Hat withdrawal;2024-10-09;2024-10-09;82622;COMPLETED
8;77602;Micronesia payment Gorgeous Frozen Bacon;Colombian Peso Unidad de Valor Real initiatives;2024-10-09;2024-10-09;40134;BLOCKED
9;14341;Toys;Developer toolset collaboration;2024-10-08;2024-10-09;28507;IN_PROGRESS
10;44995;North Korean Won Accountability;withdrawal Investor;2024-10-09;2024-10-09;52639;IN_PROGRESS
